----------------------- Image Number = 1 ----------------------------------
Blob #    Circle Diameter [mm]    Circle Area [mm^2]    Ellipse Area [mm^2]
  1               0.70                   0.38                   0.83
  2               1.21                   1.16                   1.39
  3               1.15                   1.04                   1.44
  4               1.07                   0.91                   1.53
  5               1.11                   0.96                   1.13
  6               0.34                   0.09                   0.09
  7               0.37                   0.11                   0.14
----------------------- Image Number = 2 ----------------------------------
Blob #    Circle Diameter [mm]    Circle Area [mm^2]    Ellipse Area [mm^2]
  1               1.11                   0.97                   1.38
  2               1.24                   1.21                   1.39
  3               1.39                   1.51                   2.27
  4               0.28                   0.06                   0.07
  5               0.35                   0.10                   0.10
----------------------- Image Number = 3 ----------------------------------
Blob #    Circle Diameter [mm]    Circle Area [mm^2]    Ellipse Area [mm^2]
  1               0.21                   0.04                   0.04
  2               1.04                   0.85                   0.93
  3               1.17                   1.07                   1.45
  4               0.41                   0.13                   0.14
  5               1.05                   0.87                   1.06
  6               1.02                   0.82                   1.17
  7               1.20                   1.14                   1.25
  8               0.16                   0.02                   0.02
----------------------- Image Number = 4 ----------------------------------
Blob #    Circle Diameter [mm]    Circle Area [mm^2]    Ellipse Area [mm^2]
  1               1.10                   0.94                   1.77
  2               1.37                   1.48                   1.69
  3               1.19                   1.12                   1.54
  4               0.45                   0.16                   0.23
  5               0.38                   0.11                   0.46
  6               0.31                   0.08                   0.08
  7               0.30                   0.07                   0.07
----------------------- Image Number = 5 ----------------------------------
Blob #    Circle Diameter [mm]    Circle Area [mm^2]    Ellipse Area [mm^2]
  1               1.09                   0.94                   1.13
  2               1.11                   0.96                   1.19
  3               1.20                   1.12                   2.18
  4               0.91                   0.65                   0.91
  5               0.46                   0.17                   0.19
----------------------- Image Number = 6 ----------------------------------
Blob #    Circle Diameter [mm]    Circle Area [mm^2]    Ellipse Area [mm^2]
  1               1.09                   0.94                   1.40
  2               1.02                   0.82                   0.91
  3               0.93                   0.68                   0.94
  4               1.18                   1.09                   1.87
  5               0.04                   0.00                   0.00
----------------------- Image Number = 7 ----------------------------------
Blob #    Circle Diameter [mm]    Circle Area [mm^2]    Ellipse Area [mm^2]
  1               0.83                   0.55                   1.26
  2               1.10                   0.94                   1.46
  3               0.43                   0.15                   0.16
  4               1.14                   1.01                   1.93
  5               1.16                   1.05                   1.24
  6               0.37                   0.11                   0.14
----------------------- Image Number = 8 ----------------------------------
Blob #    Circle Diameter [mm]    Circle Area [mm^2]    Ellipse Area [mm^2]
  1               1.11                   0.96                   1.59
  2               0.46                   0.16                   0.41
  3               1.04                   0.84                   0.97
  4               0.99                   0.78                   1.15
  5               1.22                   1.16                   1.40
  6               0.32                   0.08                   0.09
----------------------- Image Number = 9 ----------------------------------
Blob #    Circle Diameter [mm]    Circle Area [mm^2]    Ellipse Area [mm^2]
  1               0.93                   0.68                   1.36
  2               1.07                   0.90                   1.34
  3               0.97                   0.73                   0.96
  4               1.13                   1.00                   1.66
  5               0.54                   0.23                   0.49
  6               0.24                   0.04                   0.04
  7               0.05                   0.00                   0.00
  8               0.04                   0.00                   0.00
----------------------- Image Number = 10 ----------------------------------
Blob #    Circle Diameter [mm]    Circle Area [mm^2]    Ellipse Area [mm^2]
  1               1.02                   0.82                   1.15
  2               1.03                   0.84                   1.12
  3               0.95                   0.70                   1.40
  4               1.07                   0.91                   1.14
  5               1.22                   1.18                   1.38
  6               0.08                   0.01                   0.01
